Category,Diagnosis,Symptoms
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Malaise, Nausea, Stomach cramps, Vomiting"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fatigue, Fever, Headache"
Chronic,Type 2 Diabetes,"Blurry vision, Excessive thirst, Frequent urination, Headache, Increased hunger, Malaise, Nausea, Slow-healing sores, Unexplained weight loss"
Musculoskeletal,Tibial/Fibular Fracture,"Bruising, Headache, Inability to bear weight, Severe leg pain, Swelling, Visible deformity"
Infectious,Influenza (Flu),"Body aches, Dry cough, High fever, Runny nose, Sore throat, Weakness"
Allergy,Allergic Rhinitis (Hay Fever),"Body aches, Itchy, watery eyes, Nasal congestion, Runny nose, Sneezing, Weakness"
Musculoskeletal,Rheumatoid Arthritis,"Body aches, Dizziness, Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Swollen joints"
Infectious,COVID-19,"Chills, Dry cough, Fatigue, Fever, Loss of appetite, Loss of taste or smell, Shortness of breath"
Musculoskeletal,Rheumatoid Arthritis,"Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Malaise, Swollen joints"
Acute/Surgical,Appendicitis,"Abdominal swelling, Fever, Headache, Loss of appetite, Nausea, Pain in lower right abdomen, Vomiting"
Urological,Kidney Stone,"Malaise, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Chronic,Type 2 Diabetes,"Blurry vision, Body aches, Excessive thirst, Frequent urination, Increased hunger, Loss of appetite, Nausea, Slow-healing sores, Unexplained weight loss"
Chronic,Hypertension,"Dizziness, Headaches, Malaise, Nosebleeds, Often asymptomatic, Shortness of breath"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Chills, Fever, Inability to bear weight, Loss of appetite, Swelling, Tenderness to touch"
Acute/Surgical,Appendicitis,"Abdominal swelling, Fever, Loss of appetite, Malaise, Nausea, Pain in lower right abdomen, Vomiting"
Chronic,Type 2 Diabetes,"Blurry vision, Dizziness, Excessive thirst, Frequent urination, Increased hunger, Slow-healing sores, Unexplained weight loss"
Infectious,Strep Throat,"Dizziness, Fatigue, Fever, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Musculoskeletal,Rheumatoid Arthritis,"Body aches, Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Swollen joints"
Neurological,Migraine,"Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting, Weakness"
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Loss of appetite, Malaise, Nausea, Stomach cramps, Vomiting, Weakness"
Musculoskeletal,Tibial/Fibular Fracture,"Bruising, Fatigue, Fever, Inability to bear weight, Severe leg pain, Swelling, Visible deformity"
Infectious,Urinary Tract Infection (UTI),"Cloudy or strong-smelling urine, Frequent urination, Loss of appetite, Malaise, Pain or burning on urination, Pelvic pain"
Acute/Surgical,Appendicitis,"Abdominal swelling, Body aches, Fever, Loss of appetite, Nausea, Pain in lower right abdomen, Vomiting"
Neurological,Migraine,"Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Musculoskeletal,Ankle Sprain,"Ankle pain, Body aches, Bruising, Inability to bear weight, Loss of appetite, Swelling, Tenderness to touch, Weakness"
Acute/Surgical,Appendicitis,"Abdominal swelling, Fever, Loss of appetite, Malaise, Nausea, Pain in lower right abdomen, Vomiting"
Infectious,Urinary Tract Infection (UTI),"Cloudy or strong-smelling urine, Fever, Frequent urination, Malaise, Pain or burning on urination, Pelvic pain"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fatigue, Fever, Loss of appetite"
Infectious,Strep Throat,"Body aches, Fatigue, Fever, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Infectious,Strep Throat,"Dizziness, Fever, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fever, Weakness"
Infectious,Gastroenteritis (Stomach Flu),"Chills, Diarrhea, Fever, Headache, Nausea, Stomach cramps, Vomiting"
Musculoskeletal,Rheumatoid Arthritis,"Fatigue, Fever, Headache, Joint pain, Joint stiffness (worse in morning), Swollen joints, Weakness"
Neurological,Migraine,"Fever, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Infectious,Influenza (Flu),"Body aches, Dry cough, Fever, High fever, Nausea, Runny nose, Sore throat, Weakness"
Chronic,Asthma,"Chest tightness, Chills, Coughing (especially at night), Shortness of breath, Wheezing"
Urological,Kidney Stone,"Malaise, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Neurological,Migraine,"Dizziness, Fatigue, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Musculoskeletal,Tibial/Fibular Fracture,"Bruising, Inability to bear weight, Loss of appetite, Severe leg pain, Swelling, Visible deformity"
Infectious,Influenza (Flu),"Body aches, Dizziness, Dry cough, Fatigue, High fever, Runny nose, Sore throat"
Infectious,Gastroenteritis (Stomach Flu),"Chills, Diarrhea, Fever, Nausea, Stomach cramps, Vomiting"
Urological,Kidney Stone,"Fever, Malaise, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back, Weakness"
Musculoskeletal,Rheumatoid Arthritis,"Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Loss of appetite, Swollen joints"
Infectious,Strep Throat,"Fever, Headache, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, Weakness, White patches on tonsils"
Allergy,Allergic Rhinitis (Hay Fever),"Fever, Itchy, watery eyes, Nasal congestion, Runny nose, Sneezing"
Infectious,Influenza (Flu),"Body aches, Chills, Dry cough, Fatigue, High fever, Runny nose, Sore throat"
Allergy,Allergic Rhinitis (Hay Fever),"Chills, Itchy, watery eyes, Nasal congestion, Runny nose, Sneezing"
Musculoskeletal,Ankle Sprain,"Ankle pain, Body aches, Bruising, Inability to bear weight, Malaise, Swelling, Tenderness to touch"
Musculoskeletal,Rheumatoid Arthritis,"Body aches, Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Swollen joints"
Musculoskeletal,Tibial/Fibular Fracture,"Body aches, Bruising, Inability to bear weight, Severe leg pain, Swelling, Visible deformity"
Allergy,Allergic Rhinitis (Hay Fever),"Dizziness, Itchy, watery eyes, Nasal congestion, Runny nose, Sneezing"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fever, Nausea, Weakness"
Chronic,Asthma,"Body aches, Chest tightness, Coughing (especially at night), Shortness of breath, Wheezing"
Chronic,Type 2 Diabetes,"Blurry vision, Body aches, Excessive thirst, Frequent urination, Headache, Increased hunger, Nausea, Slow-healing sores, Unexplained weight loss"
Infectious,Influenza (Flu),"Body aches, Dry cough, High fever, Loss of appetite, Malaise, Runny nose, Sore throat"
Musculoskeletal,Rheumatoid Arthritis,"Dizziness, Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Swollen joints"
Chronic,Asthma,"Chest tightness, Coughing (especially at night), Fatigue, Malaise, Shortness of breath, Wheezing"
Chronic,Asthma,"Chest tightness, Coughing (especially at night), Dizziness, Loss of appetite, Shortness of breath, Weakness, Wheezing"
Musculoskeletal,Rheumatoid Arthritis,"Fatigue, Fever, Headache, Joint pain, Joint stiffness (worse in morning), Loss of appetite, Nausea, Swollen joints"
Chronic,Hypertension,"Dizziness, Headaches, Malaise, Nosebleeds, Often asymptomatic, Shortness of breath"
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Loss of appetite, Nausea, Stomach cramps, Vomiting"
Chronic,Asthma,"Chest tightness, Coughing (especially at night), Dizziness, Headache, Shortness of breath, Wheezing"
Chronic,Hypertension,"Dizziness, Headaches, Nausea, Nosebleeds, Often asymptomatic, Shortness of breath"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Chills, Inability to bear weight, Swelling, Tenderness to touch"
Acute/Surgical,Appendicitis,"Abdominal swelling, Fever, Loss of appetite, Nausea, Pain in lower right abdomen, Vomiting"
Chronic,Type 2 Diabetes,"Blurry vision, Chills, Excessive thirst, Frequent urination, Headache, Increased hunger, Malaise, Slow-healing sores, Unexplained weight loss"
Infectious,Gastroenteritis (Stomach Flu),"Body aches, Diarrhea, Loss of appetite, Nausea, Stomach cramps, Vomiting"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fatigue, Fever, Weakness"
Infectious,Gastroenteritis (Stomach Flu),"Chills, Diarrhea, Nausea, Stomach cramps, Vomiting"
Infectious,COVID-19,"Chills, Dry cough, Fatigue, Fever, Headache, Loss of taste or smell, Malaise, Shortness of breath"
Urological,Kidney Stone,"Fatigue, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Musculoskeletal,Rheumatoid Arthritis,"Dizziness, Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Loss of appetite, Swollen joints"
Chronic,Hypertension,"Dizziness, Headaches, Malaise, Nosebleeds, Often asymptomatic, Shortness of breath, Weakness"
Chronic,Asthma,"Chest tightness, Chills, Coughing (especially at night), Loss of appetite, Malaise, Shortness of breath, Wheezing"
Acute/Surgical,Appendicitis,"Abdominal swelling, Fever, Loss of appetite, Nausea, Pain in lower right abdomen, Vomiting"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Inability to bear weight, Swelling, Tenderness to touch, Weakness"
Urological,Kidney Stone,"Body aches, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Chronic,Hypertension,"Chills, Dizziness, Fever, Headaches, Malaise, Nosebleeds, Often asymptomatic, Shortness of breath"
Allergy,Allergic Rhinitis (Hay Fever),"Dizziness, Headache, Itchy, watery eyes, Loss of appetite, Nasal congestion, Runny nose, Sneezing"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Fatigue, Inability to bear weight, Nausea, Swelling, Tenderness to touch"
Musculoskeletal,Tibial/Fibular Fracture,"Bruising, Fatigue, Inability to bear weight, Nausea, Severe leg pain, Swelling, Visible deformity"
Chronic,Asthma,"Body aches, Chest tightness, Coughing (especially at night), Shortness of breath, Wheezing"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fever, Loss of appetite, Nausea"
Allergy,Allergic Rhinitis (Hay Fever),"Chills, Headache, Itchy, watery eyes, Nasal congestion, Nausea, Runny nose, Sneezing"
Urological,Kidney Stone,"Chills, Fever, Loss of appetite, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Chronic,Hypertension,"Body aches, Dizziness, Headaches, Nosebleeds, Often asymptomatic, Shortness of breath"
Musculoskeletal,Rheumatoid Arthritis,"Body aches, Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Swollen joints"
Chronic,Asthma,"Chest tightness, Chills, Coughing (especially at night), Fatigue, Malaise, Shortness of breath, Wheezing"
Neurological,Migraine,"Loss of appetite, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Infectious,COVID-19,"Dry cough, Fatigue, Fever, Loss of taste or smell, Nausea, Shortness of breath"
Chronic,Type 2 Diabetes,"Blurry vision, Excessive thirst, Fatigue, Frequent urination, Increased hunger, Slow-healing sores, Unexplained weight loss"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fever"
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Fever, Nausea, Stomach cramps, Vomiting"
Infectious,Urinary Tract Infection (UTI),"Chills, Cloudy or strong-smelling urine, Frequent urination, Pain or burning on urination, Pelvic pain"
Musculoskeletal,Rheumatoid Arthritis,"Body aches, Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Swollen joints"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fatigue, Fever"
Allergy,Allergic Rhinitis (Hay Fever),"Chills, Dizziness, Fatigue, Itchy, watery eyes, Nasal congestion, Runny nose, Sneezing"
Allergy,Allergic Rhinitis (Hay Fever),"Body aches, Itchy, watery eyes, Nasal congestion, Runny nose, Sneezing"
Infectious,Urinary Tract Infection (UTI),"Cloudy or strong-smelling urine, Frequent urination, Nausea, Pain or burning on urination, Pelvic pain"
Neurological,Migraine,"Dizziness, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Neurological,Migraine,"Fatigue, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Musculoskeletal,Rheumatoid Arthritis,"Dizziness, Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Loss of appetite, Swollen joints"
Infectious,Influenza (Flu),"Body aches, Dizziness, Dry cough, Headache, High fever, Runny nose, Sore throat"
Chronic,Hypertension,"Body aches, Dizziness, Headaches, Nausea, Nosebleeds, Often asymptomatic, Shortness of breath"
Infectious,Urinary Tract Infection (UTI),"Cloudy or strong-smelling urine, Dizziness, Frequent urination, Loss of appetite, Pain or burning on urination, Pelvic pain, Weakness"
Infectious,COVID-19,"Body aches, Dry cough, Fatigue, Fever, Loss of taste or smell, Shortness of breath"
Chronic,Type 2 Diabetes,"Blurry vision, Excessive thirst, Fatigue, Fever, Frequent urination, Increased hunger, Slow-healing sores, Unexplained weight loss"
Infectious,Strep Throat,"Fever, Headache, Nausea, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Infectious,Urinary Tract Infection (UTI),"Chills, Cloudy or strong-smelling urine, Dizziness, Fever, Frequent urination, Pain or burning on urination, Pelvic pain"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fatigue, Fever"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fever, Malaise, Weakness"
Urological,Kidney Stone,"Fatigue, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Chronic,Hypertension,"Dizziness, Headaches, Loss of appetite, Nosebleeds, Often asymptomatic, Shortness of breath"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Inability to bear weight, Swelling, Tenderness to touch, Weakness"
Musculoskeletal,Tibial/Fibular Fracture,"Bruising, Chills, Inability to bear weight, Loss of appetite, Severe leg pain, Swelling, Visible deformity"
Chronic,Asthma,"Chest tightness, Coughing (especially at night), Loss of appetite, Shortness of breath, Wheezing"
Chronic,Hypertension,"Chills, Dizziness, Fever, Headaches, Nausea, Nosebleeds, Often asymptomatic, Shortness of breath"
Infectious,Influenza (Flu),"Body aches, Chills, Dry cough, Fever, High fever, Loss of appetite, Runny nose, Sore throat"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Inability to bear weight, Nausea, Swelling, Tenderness to touch"
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Fever, Headache, Nausea, Stomach cramps, Vomiting, Weakness"
Allergy,Allergic Rhinitis (Hay Fever),"Itchy, watery eyes, Nasal congestion, Runny nose, Sneezing, Weakness"
Neurological,Migraine,"Dizziness, Headache, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting, Weakness"
Acute/Surgical,Appendicitis,"Abdominal swelling, Dizziness, Fatigue, Fever, Loss of appetite, Nausea, Pain in lower right abdomen, Vomiting"
Neurological,Migraine,"Dizziness, Fatigue, Loss of appetite, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Infectious,Urinary Tract Infection (UTI),"Cloudy or strong-smelling urine, Fatigue, Fever, Frequent urination, Malaise, Pain or burning on urination, Pelvic pain"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fever"
